company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_code,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year, price_amount ,price_currency_code
/company/72-acre-property,72-Acre Property,,,,unknown,,/company/paragon-communications,Paragon Communications,public_relations,USA,MA,Boston,Ashland,8/14/12,2012-08,2012-Q3,2012,,USD
/company/724-solutions,724 Solutions,,,,unknown,,/company/mobixell,Mobixell Networks,mobile,USA,CA,SF Bay,San Jose,1/22/10,2010-01,2010-Q1,2010,,USD
/company/798-inc,"798, Inc.",games_video,GBR,,Newcastle,Newcastle - Upon - Tyne,/company/the-fennetic-company,The Fennetic Company,games_video,,,unknown,,8/12/10,2010-08,2010-Q3,2010,,GBP
/company/7inkjet-com,7inkjet.com,,,,unknown,,/company/lexon-technologies,Lexon Technologies,other,USA,CA,Los Angeles,La Mirada,11/5/09,2009-11,2009-Q4,2009,,USD
/company/7ticks,7ticks,hardware,USA,IL,Chicago,Chicago,/company/interactive-data,Interactive Data,software,USA,MA,Boston,Bedford,12/14/09,2009-12,2009-Q4,2009,,USD
/company/80-20,80/20,hardware,USA,NY,New York,New York,/company/square,Square,mobile,USA,CA,SF Bay,San Francisco,10/1/12,2012-10,2012-Q4,2012,,USD
/company/80108-media,80108 Media,,,,unknown,,/company/http-www-go2-com,Go2,mobile,USA,MA,Boston,BOSTON,10/25/07,2007-10,2007-Q4,2007,,USD
/company/8x8-inc,8x8 Inc,network_hosting,USA,CA,SF Bay,San Jose,/company/contactual,Contactual,public_relations,USA,CA,SF Bay,Redwood City,9/15/11,2011-09,2011-Q3,2011,,USD
/company/90-degree-software,90 Degree Software,,CAN,,Vancouver,"Vancouver, BC",/company/microsoft,Microsoft,software,USA,WA,Seattle,Redmond,3/14/08,2008-03,2008-Q1,2008,,USD
/company/91-wireless,91 Wireless,,CHN,,China - Other,,/company/baidu,Baidu,search,CHN,,Beijing,Beijing,7/15/13,2013-07,2013-Q3,2013,"1,900,000,000",USD
/company/9rules,9Rules,public_relations,,,unknown,,/company/splashpress,Splashpress,advertising,,,unknown,,8/27/09,2009-08,2009-Q3,2009,,USD
/company/9threads,9Threads,,,,unknown,,/company/stone,Stone,advertising,USA,OH,Cincinnati,Independence,1/1/12,2012-01,2012-Q1,2012,,USD
/company/9threads,9Threads,,,,unknown,,/company/level7,Level7,consulting,USA,OH,Cleveland,Cleveland,1/1/12,2012-01,2012-Q1,2012,,USD
/company/last-software,@Last Software,,,,unknown,,/company/google,Google,search,USA,CA,SF Bay,Mountain View,3/14/06,2006-03,2006-Q1,2006,,USD
/company/stake,@Stake,software,,,unknown,,/company/symantec,Symantec,security,USA,CA,SF Bay,Mountain View,9/16/04,2004-09,2004-Q3,2004,,USD
/company/a-bit-lucky,A Bit Lucky,games_video,USA,CA,SF Bay,San Mateo,/company/zynga,Zynga,games_video,USA,CA,SF Bay,San Francisco,9/17/12,2012-09,2012-Q3,2012,,USD
/company/a-life-medical,A-Life Medical,biotech,USA,CA,San Diego,San Diego,/company/ingenix,Ingenix,consulting,USA,MN,Minneapolis,Eden Prairie,9/21/10,2010-09,2010-Q3,2010,,USD
/company/a-s-a-p-advisor-services,A.S.A.P. Advisor Services,enterprise,,,unknown,,/company/evestment-alliance,eVestment,analytics,USA,GA,Atlanta,Marietta,12/1/11,2011-12,2011-Q4,2011,,USD
/company/a1vacations,A1Vacations,,USA,VA,Hardy,Hardy,/company/homeaway,HomeAway,travel,USA,TX,Austin,Austin,2/1/05,2005-02,2005-Q1,2005,,USD
/company/aapt,AAPT,public_relations,AUS,,Sydney NSW,Sydney NSW,/company/tpg-internet,TPG Internet,mobile,AUS,,Australia - Other,,12/9/13,2013-12,2013-Q4,2013,"450,000,000",USD
/company/aardvark,Aardvark,web,USA,CA,SF Bay,San Francisco,/company/google,Google,search,USA,CA,SF Bay,Mountain View,2/11/10,2010-02,2010-Q1,2010,"50,000,000",USD
