company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,funding_round_type,funded_at,funded_month,funded_quarter,funded_year, raised_amount_usd 
/company/2u,2U,education,USA,MD,Washington DC,Landover,series-c+,4/2/12,2012-04,2012-Q2,2012,"26,000,000"
/company/2u,2U,education,USA,MD,Washington DC,Landover,series-c+,10/21/13,2013-10,2013-Q4,2013,"5,100,000"
/company/2vancouver,2Vancouver,ecommerce,CAN,,Vancouver,Vancouver,venture,6/1/11,2011-06,2011-Q2,2011,"80,000"
/company/2web-technologies,2Web Technologies,,,,unknown,,angel,12/1/01,2001-12,2001-Q4,2001,
/company/2win-solutions,2Win-Solutions,software,ISR,,Raanana,Raanana,angel,1/1/08,2008-01,2008-Q1,2008,
/company/3-v-biosciences,3-V Biosciences,biotech,USA,CA,SF Bay,Menlo Park,series-b,7/10/09,2009-07,2009-Q3,2009,"30,000,000"
/company/3-v-biosciences,3-V Biosciences,biotech,USA,CA,SF Bay,Menlo Park,venture,1/5/12,2012-01,2012-Q1,2012,"20,000,000"
/company/3-v-biosciences,3-V Biosciences,biotech,USA,CA,SF Bay,Menlo Park,venture,10/1/12,2012-10,2012-Q4,2012,"8,089,000"
/company/3-v-biosciences,3-V Biosciences,biotech,USA,CA,SF Bay,Menlo Park,series-c+,6/21/13,2013-06,2013-Q2,2013,"20,000,000"
/company/30-second-showcase,30 Second Showcase,software,USA,NJ,New York,Clifton,angel,5/20/13,2013-05,2013-Q2,2013,"25,000"
/company/33across,33Across,advertising,USA,NY,New York,New York,angel,3/13/09,2009-03,2009-Q1,2009,"750,000"
/company/33across,33Across,advertising,USA,NY,New York,New York,series-a,4/22/10,2010-04,2010-Q2,2010,"1,284,560"
/company/33across,33Across,advertising,USA,NY,New York,New York,series-b,1/5/11,2011-01,2011-Q1,2011,"9,000,000"
/company/33across,33Across,advertising,USA,NY,New York,New York,series-c+,7/19/12,2012-07,2012-Q3,2012,"13,100,000"
/company/360cities,360Cities,web,CZE,,Prague,Prague,angel,12/1/07,2007-12,2007-Q4,2007,
/company/360imaging,360imaging,biotech,USA,GA,Atlanta,Atlanta,angel,1/1/05,2005-01,2005-Q1,2005,"500,000"
/company/360imaging,360imaging,biotech,USA,GA,Atlanta,Atlanta,series-a,1/1/10,2010-01,2010-Q1,2010,"5,000,000"
/company/360incentives-com,360incentives.com,software,CAN,,Whitby,"Whitby, ON",venture,1/15/13,2013-01,2013-Q1,2013,"7,650,000"
/company/360learning,360Learning,education,FRA,,Paris,Paris,series-a,9/30/13,2013-09,2013-Q3,2013,"1,543,920"
/company/360t,360T,finance,DEU,,Frankfurt,Frankfurt am Main,venture,2/17/12,2012-02,2012-Q1,2012,
/company/365scores,365Scores,mobile,USA,,United States - Other,,series-a,1/28/13,2013-01,2013-Q1,2013,"1,200,000"
/company/37signals,37signals,public_relations,USA,IL,Chicago,Chicago,series-a,7/1/06,2006-07,2006-Q3,2006,
/company/382-communications,382 Communications,mobile,USA,MA,Boston,Quincy,other,1/13/12,2012-01,2012-Q1,2012,"1,600,000"
/company/3baysover,3BaysOver,travel,CHE,,Geneva,Geneva,angel,8/1/11,2011-08,2011-Q3,2011,"375,000"
/company/3c-plus,3C Plus,software,BRA,,Curitiba,Curitiba,angel,1/10/13,2013-01,2013-Q1,2013,"75,000"
/company/3ci,3CI,biotech,ITA,,Bolzano,Bolzano,other,1/1/11,2011-01,2011-Q1,2011,"133,620"
/company/3clickemr-corporation,3ClickEMR Corporation,software,USA,MA,Boston,West Roxbury,angel,6/23/10,2010-06,2010-Q2,2010,"250,000"
/company/3clickemr-corporation,3ClickEMR Corporation,software,USA,MA,Boston,West Roxbury,angel,6/1/11,2011-06,2011-Q2,2011,"250,000"
/company/3crowd-technologies,XDN/3Crowd Technologies,enterprise,USA,CA,SF Bay,San Mateo,venture,12/22/09,2009-12,2009-Q4,2009,
/company/3crowd-technologies,XDN/3Crowd Technologies,enterprise,USA,CA,SF Bay,San Mateo,series-a,4/13/10,2010-04,2010-Q2,2010,"6,620,000"
/company/3crowd-technologies,XDN/3Crowd Technologies,enterprise,USA,CA,SF Bay,San Mateo,venture,7/1/12,2012-07,2012-Q3,2012,"669,000"
/company/3d-4u,3D-4U,other,USA,WA,TBD,Pullman,venture,2/16/10,2010-02,2010-Q1,2010,"135,000"
/company/3d-biomatrix,3D Biomatrix,biotech,USA,MI,Detroit,Ann Arbor,angel,2/5/13,2013-02,2013-Q1,2013,"1,465,000"
/company/3d-eye-solutions,3D Eye Solutions,,USA,FL,Orlando,Longwood,venture,4/6/10,2010-04,2010-Q2,2010,"210,000"
