company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_category_code,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_type,funded_at,funded_month,funded_quarter,funded_year, raised_amount_usd ,
/company/nprogress,nprogress,social,USA,CA,Los Angeles,Los Angeles,/company/activation-media,Activation Media,games_video,USA,NY,New York,New York,series-a,12/1/11,2011-12,2011-Q4,2011,"1,700,000",
/company/krossover-intelligence,Krossover,software,USA,NY,New York,New York,/company/active-angels,Active Angels,,,,unknown,,series-a,10/15/11,2011-10,2011-Q4,2011,"2,500,000",
/company/casterstats,CasterStats,software,BEL,,Liege,Liege,/company/active-up,Active Up,,,,unknown,,angel,10/15/09,2009-10,2009-Q4,2009,"631,720",
/company/kupoya,Kupoya,advertising,,,unknown,,/company/actu-cci,ACTU-CCI,,,,unknown,,angel,4/6/12,2012-04,2012-Q2,2012,"300,000",
/company/kynetx,Kynetx,software,USA,UT,Salt Lake City,Lehi,/company/acxiom,Acxiom,software,USA,AR,Little Rock,Little Rock,series-a,10/29/09,2009-10,2009-Q4,2009,"2,000,000",
/company/brand-affinity-technologies,Brand Affinity Technologies,advertising,USA,CA,Los Angeles,Irvine,/company/ad-pepper-media,ad pepper media,advertising,DEU,,Nuremberg,Nuremberg,series-c+,8/24/10,2010-08,2010-Q3,2010,"20,000,000",
/company/videovalis,Videovalis GmbH,advertising,DEU,,KÌ_ln,KÌ_ln,/company/ad-pepper-media,ad pepper media,advertising,DEU,,Nuremberg,Nuremberg,venture,8/28/10,2010-08,2010-Q3,2010,"1,271,300",
/company/socialtyze,Socialtyze,analytics,USA,CA,Los Angeles,Los Angeles,/company/ad-pepper-media,ad pepper media,advertising,DEU,,Nuremberg,Nuremberg,series-a,1/1/10,2010-01,2010-Q1,2010,"1,500,000",
/company/satisfaction,Get Satisfaction,web,USA,CA,SF Bay,San Francisco,/company/adaptivepath,Adaptive Path,web,USA,CA,SF Bay,San Francisco,angel,9/1/07,2007-09,2007-Q3,2007,"1,300,000",
/company/ooolala,Ooolala,ecommerce,EST,,Tallinn,Tallinn,/company/adcash,Adcash,advertising,EST,,Tallinn,Tallinn,angel,9/30/13,2013-09,2013-Q3,2013,"231,588",
/company/path-to,Path.To,web,USA,FL,Jacksonville,Jacksonville,/company/adecco,Adecco,,CHE,,Glattbrugg,Glattbrugg,venture,4/24/12,2012-04,2012-Q2,2012,"1,500,000",
/company/crailar,CRAiLAR,cleantech,CAN,,Victoria,Victoria,/company/adidas-group,Adidas Group,,,,unknown,,venture,12/19/13,2013-12,2013-Q4,2013,"1,947,623",
